Category,Description,link_final
Socioeconomics,Median Household Income,<a href=https://data.census.gov/table?q=s1901&tid=ACSST5Y2021.S1901' target = '_blank'>ACS 2017-2021 S1901</a>
Socioeconomics,Black household income,<a href=https://data.census.gov/table?q=B19001B:+HOUSEHOLD+INCOME+IN+THE+PAST+12+MONTHS+(IN+2021+INFLATION-ADJUSTED+DOLLARS)+(BLACK+OR+AFRICAN+AMERICAN+ALONE+HOUSEHOLDER)&tid=ACSDT5Y2021.B19001B' target = '_blank'>ACS 2017-2021 B19001B</a>
Socioeconomics,Asian household income,<a href=https://data.census.gov/table?q=B19001D:+HOUSEHOLD+INCOME+IN+THE+PAST+12+MONTHS+(IN+2021+INFLATION-ADJUSTED+DOLLARS)+(ASIAN+ALONE+HOUSEHOLDER)&tid=ACSDT5Y2021.B19001D' target = '_blank'>ACS 2017-2021 B19001D</a>
Socioeconomics,White household income,<a href=https://data.census.gov/table?q=B19001H&tid=ACSDT5Y2021.B19001H' target = '_blank'>ACS 2017-2021 B19001H</a>
Socioeconomics,Hispanic household income,<a href=https://data.census.gov/table?q=B19001I:+HOUSEHOLD+INCOME+IN+THE+PAST+12+MONTHS+(IN+2021+INFLATION-ADJUSTED+DOLLARS)+(HISPANIC+OR+LATINO+HOUSEHOLDER)&tid=ACSDT5Y2021.B19001I' target = '_blank'>ACS 2017-2021 B19001I</a>
Socioeconomics,Household characteristics,<a href=https://data.census.gov/table?q=DP04&tid=ACSDP5Y2021.DP04' target = '_blank'>ACS 2017-2021 DP04</a>
Socioeconomics,Hispanic or Latino Origin by race,<a href=https://data.census.gov/table?q=B03002&tid=ACSDT5Y2021.B03002' target = '_blank'>ACS 2017-2021 B03002</a>
Socioeconomics,Demographic characteristics for occupied housing units,<a href=https://data.census.gov/table?q=S2502&tid=ACSST5Y2021.S2502' target = '_blank'>ACS 2017-2021 S2502</a>
Zillow,Zillow Home Value Index (ZHVI) - Single Family Homes Time Series,<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Typical Home Values</a>
Zillow,Zillow Home Value Index (ZHVI) - 1-bedroom Time Series,<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Typical Home Values</a>
Zillow,Zillow Home Value Index (ZHVI) - 2-bedroom Time Series,<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Typical Home Values</a>
Zillow,Zillow Home Value Index (ZHVI) - 3-bedroom Time Series,<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Typical Home Values</a>
Zillow,Zillow Home Value Index (ZHVI) - 4-bedroom Time Series,<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Typical Home Values</a>
Zillow,Zillow Home Value Index (ZHVI) - 5+ bedroom Time Series,<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Typical Home Values</a>
Zillow,"Zillow Home Value Forecast (ZHVF) - All Homes, Smoothed, Seasonally Adjusted",<a href=https://www.zillow.com/research/data/' target = '_blank'>Zillow Forecasted Home Value</a>
